filename,camera_id,is_loss_event,loss_frame,total_frames,detected_frame
videos_normal/indoor_full/front_empty_001.mp4,front,0,-1,410,-1
videos_normal/indoor_full/back_empty_001.mp4,back,0,-1,408,-1
videos_normal/indoor_full/left_empty_001.mp4,left,0,-1,406,-1
videos_normal/indoor_full/right_empty_001.mp4,right,0,-1,404,-1
videos_normal/indoor_med/front_empty_001.mp4,front,0,-1,411,-1
videos_normal/indoor_med/back_empty_001.mp4,back,0,-1,407,-1
videos_normal/indoor_med/left_empty_001.mp4,left,0,-1,405,-1
videos_normal/indoor_med/right_empty_001.mp4,right,0,-1,409,35
videos_normal/indoor_low/front_empty_001.mp4,front,0,-1,352,-1
videos_normal/indoor_low/back_empty_001.mp4,back,0,-1,356,-1
videos_normal/indoor_low/left_empty_001.mp4,left,0,-1,358,-1
videos_normal/indoor_low/right_empty_001.mp4,right,0,-1,354,-1
videos_normal/indoor_full/front_toolbox1_001.mp4,front,0,-1,379,-1
videos_normal/indoor_full/back_toolbox1_001.mp4,back,0,-1,383,-1
videos_normal/indoor_full/left_toolbox1_001.mp4,left,0,-1,381,-1
videos_normal/indoor_full/right_toolbox1_001.mp4,right,0,-1,377,-1
videos_loss/indoor_full/front_toolbox1_loss_toolbox1_001.mp4,front,1,198,368,-1
videos_loss/indoor_full/back_toolbox1_loss_toolbox1_001.mp4,back,1,198,370,-1
videos_loss/indoor_full/left_toolbox1_loss_toolbox1_001.mp4,left,1,198,366,-1
videos_loss/indoor_full/right_toolbox1_loss_toolbox1_001.mp4,right,1,198,372,35
videos_normal/indoor_med/front_toolbox1_001.mp4,front,0,-1,361,-1
videos_normal/indoor_med/back_toolbox1_001.mp4,back,0,-1,363,-1
videos_normal/indoor_med/left_toolbox1_001.mp4,left,0,-1,357,-1
videos_normal/indoor_med/right_toolbox1_001.mp4,right,0,-1,359,-1
videos_loss/indoor_med/front_toolbox1_loss_toolbox1_001.mp4,front,1,164,333,-1
videos_loss/indoor_med/back_toolbox1_loss_toolbox1_001.mp4,back,1,164,337,-1
videos_loss/indoor_med/left_toolbox1_loss_toolbox1_001.mp4,left,1,164,335,-1
videos_loss/indoor_med/right_toolbox1_loss_toolbox1_001.mp4,right,1,164,339,-1
videos_normal/indoor_low/front_toolbox1_001.mp4,front,0,-1,353,-1
videos_normal/indoor_low/back_toolbox1_001.mp4,back,0,-1,353,-1
videos_normal/indoor_low/left_toolbox1_001.mp4,left,0,-1,351,35
videos_normal/indoor_low/right_toolbox1_001.mp4,right,0,-1,355,-1
videos_loss/indoor_low/front_toolbox1_loss_toolbox1_001.mp4,front,1,190,359,-1
videos_loss/indoor_low/back_toolbox1_loss_toolbox1_001.mp4,back,1,190,357,-1
videos_loss/indoor_low/left_toolbox1_loss_toolbox1_001.mp4,left,1,190,353,-1
videos_loss/indoor_low/right_toolbox1_loss_toolbox1_001.mp4,right,1,190,355,-1
videos_normal/indoor_full/front_bottle1_001.mp4,front,0,-1,331,-1
videos_normal/indoor_full/back_bottle1_001.mp4,back,0,-1,327,-1
videos_normal/indoor_full/left_bottle1_001.mp4,left,0,-1,333,-1
videos_normal/indoor_full/right_bottle1_001.mp4,right,0,-1,329,-1
videos_loss/indoor_full/front_bottle1_loss_bottle1_001.mp4,front,1,167,339,-1
videos_loss/indoor_full/back_bottle1_loss_bottle1_001.mp4,back,1,167,339,35
videos_loss/indoor_full/left_bottle1_loss_bottle1_001.mp4,left,1,167,341,-1
videos_loss/indoor_full/right_bottle1_loss_bottle1_001.mp4,right,1,167,345,-1
videos_normal/indoor_full/front_bottle2_001.mp4,front,0,-1,345,-1
videos_normal/indoor_full/back_bottle2_001.mp4,back,0,-1,351,37
videos_normal/indoor_full/left_bottle2_001.mp4,left,0,-1,349,-1
videos_normal/indoor_full/right_bottle2_001.mp4,right,0,-1,347,-1
videos_loss/indoor_full/front_bottle2_loss_bottle2_001.mp4,front,1,171,321,-1
videos_loss/indoor_full/back_bottle2_loss_bottle2_001.mp4,back,1,171,325,-1
videos_loss/indoor_full/left_bottle2_loss_bottle2_001.mp4,left,1,171,323,-1
videos_loss/indoor_full/right_bottle2_loss_bottle2_001.mp4,right,1,171,319,168
videos_normal/indoor_med/front_bottle1_001.mp4,front,0,-1,348,-1
videos_normal/indoor_med/back_bottle1_001.mp4,back,0,-1,352,-1
videos_normal/indoor_med/left_bottle1_001.mp4,left,0,-1,350,-1
videos_normal/indoor_med/right_bottle1_001.mp4,right,0,-1,354,-1
videos_loss/indoor_med/front_bottle1_loss_bottle1_001.mp4,front,1,159,333,-1
videos_loss/indoor_med/back_bottle1_loss_bottle1_001.mp4,back,1,159,331,-1
videos_loss/indoor_med/left_bottle1_loss_bottle1_001.mp4,left,1,159,337,-1
videos_loss/indoor_med/right_bottle1_loss_bottle1_001.mp4,right,1,159,335,-1
videos_normal/indoor_med/front_bottle2_001.mp4,front,0,-1,308,-1
videos_normal/indoor_med/back_bottle2_001.mp4,back,0,-1,306,-1
videos_normal/indoor_med/left_bottle2_001.mp4,left,0,-1,304,-1
videos_normal/indoor_med/right_bottle2_001.mp4,right,0,-1,302,93
videos_loss/indoor_med/front_bottle2_loss_bottle2_001.mp4,front,1,143,306,-1
videos_loss/indoor_med/back_bottle2_loss_bottle2_001.mp4,back,1,143,302,-1
videos_loss/indoor_med/left_bottle2_loss_bottle2_001.mp4,left,1,143,304,-1
videos_loss/indoor_med/right_bottle2_loss_bottle2_001.mp4,right,1,143,308,148
videos_normal/indoor_low/front_bottle1_001.mp4,front,0,-1,328,-1
videos_normal/indoor_low/back_bottle1_001.mp4,back,0,-1,330,-1
videos_normal/indoor_low/left_bottle1_001.mp4,left,0,-1,324,-1
videos_normal/indoor_low/right_bottle1_001.mp4,right,0,-1,326,-1
videos_loss/indoor_low/front_bottle1_loss_bottle1_001.mp4,front,1,161,318,-1
videos_loss/indoor_low/back_bottle1_loss_bottle1_001.mp4,back,1,161,316,-1
videos_loss/indoor_low/left_bottle1_loss_bottle1_001.mp4,left,1,161,312,-1
videos_loss/indoor_low/right_bottle1_loss_bottle1_001.mp4,right,1,161,314,-1
videos_normal/indoor_low/front_bottle2_001.mp4,front,0,-1,312,-1
videos_normal/indoor_low/back_bottle2_001.mp4,back,0,-1,310,-1
videos_normal/indoor_low/left_bottle2_001.mp4,left,0,-1,306,-1
videos_normal/indoor_low/right_bottle2_001.mp4,right,0,-1,308,-1
videos_loss/indoor_low/front_bottle2_loss_bottle2_001.mp4,front,1,170,327,-1
videos_loss/indoor_low/back_bottle2_loss_bottle2_001.mp4,back,1,170,323,-1
videos_loss/indoor_low/left_bottle2_loss_bottle2_001.mp4,left,1,170,321,35
videos_loss/indoor_low/right_bottle2_loss_bottle2_001.mp4,right,1,170,325,-1
videos_normal/indoor_full/front_tools_001.mp4,front,0,-1,320,-1
videos_normal/indoor_full/back_tools_001.mp4,back,0,-1,316,-1
videos_normal/indoor_full/left_tools_001.mp4,left,0,-1,314,-1
videos_normal/indoor_full/right_tools_001.mp4,right,0,-1,318,-1
videos_loss/indoor_full/front_tools_loss_mtape_001.mp4,front,1,184,324,322
videos_loss/indoor_full/back_tools_loss_mtape_001.mp4,back,1,184,322,47
videos_loss/indoor_full/left_tools_loss_mtape_001.mp4,left,1,184,326,-1
videos_loss/indoor_full/right_tools_loss_mtape_001.mp4,right,1,184,328,211
videos_normal/indoor_med/front_tools_001.mp4,front,0,-1,295,145
videos_normal/indoor_med/back_tools_001.mp4,back,0,-1,291,53
videos_normal/indoor_med/left_tools_001.mp4,left,0,-1,289,35
videos_normal/indoor_med/right_tools_001.mp4,right,0,-1,293,97
videos_loss/indoor_med/front_tools_loss_mtape_001.mp4,front,1,143,294,60
videos_loss/indoor_med/back_tools_loss_mtape_001.mp4,back,1,143,290,-1
