img1,img2,label,source_video,frame1,frame2
data/extracted_pairs/pair_000000_1.jpg,data/extracted_pairs/pair_000000_2.jpg,0,videos_normal/back_box_1.mp4,605,160
data/extracted_pairs/pair_000001_1.jpg,data/extracted_pairs/pair_000001_2.jpg,0,videos_normal/back_box_1.mp4,1440,1285
data/extracted_pairs/pair_000002_1.jpg,data/extracted_pairs/pair_000002_2.jpg,0,videos_normal/back_box_1.mp4,1175,745
data/extracted_pairs/pair_000003_1.jpg,data/extracted_pairs/pair_000003_2.jpg,0,videos_normal/back_box_1.mp4,555,2825
data/extracted_pairs/pair_000004_1.jpg,data/extracted_pairs/pair_000004_2.jpg,0,videos_normal/back_box_1.mp4,480,3055
data/extracted_pairs/pair_000005_1.jpg,data/extracted_pairs/pair_000005_2.jpg,0,videos_normal/back_box_1.mp4,2195,195
data/extracted_pairs/pair_000006_1.jpg,data/extracted_pairs/pair_000006_2.jpg,0,videos_normal/back_box_1.mp4,185,510
data/extracted_pairs/pair_000007_1.jpg,data/extracted_pairs/pair_000007_2.jpg,0,videos_normal/back_box_1.mp4,1150,1225
data/extracted_pairs/pair_000008_1.jpg,data/extracted_pairs/pair_000008_2.jpg,0,videos_normal/back_box_1.mp4,2620,3115
data/extracted_pairs/pair_000009_1.jpg,data/extracted_pairs/pair_000009_2.jpg,0,videos_normal/back_box_1.mp4,170,2905
data/extracted_pairs/pair_000010_1.jpg,data/extracted_pairs/pair_000010_2.jpg,0,videos_normal/back_box_1.mp4,1050,2825
data/extracted_pairs/pair_000011_1.jpg,data/extracted_pairs/pair_000011_2.jpg,0,videos_normal/back_box_1.mp4,2180,1160
data/extracted_pairs/pair_000012_1.jpg,data/extracted_pairs/pair_000012_2.jpg,0,videos_normal/back_box_1.mp4,2330,3050
data/extracted_pairs/pair_000013_1.jpg,data/extracted_pairs/pair_000013_2.jpg,0,videos_normal/back_box_1.mp4,1455,65
data/extracted_pairs/pair_000014_1.jpg,data/extracted_pairs/pair_000014_2.jpg,0,videos_normal/back_box_1.mp4,850,2195
data/extracted_pairs/pair_000015_1.jpg,data/extracted_pairs/pair_000015_2.jpg,0,videos_normal/back_box_1.mp4,1775,1455
data/extracted_pairs/pair_000016_1.jpg,data/extracted_pairs/pair_000016_2.jpg,0,videos_normal/back_box_1.mp4,830,1135
data/extracted_pairs/pair_000017_1.jpg,data/extracted_pairs/pair_000017_2.jpg,0,videos_normal/back_box_1.mp4,1755,555
data/extracted_pairs/pair_000018_1.jpg,data/extracted_pairs/pair_000018_2.jpg,0,videos_normal/back_box_1.mp4,505,1980
data/extracted_pairs/pair_000019_1.jpg,data/extracted_pairs/pair_000019_2.jpg,0,videos_normal/back_box_1.mp4,530,1870
data/extracted_pairs/pair_000020_1.jpg,data/extracted_pairs/pair_000020_2.jpg,0,videos_normal/back_box_1.mp4,1795,3125
data/extracted_pairs/pair_000021_1.jpg,data/extracted_pairs/pair_000021_2.jpg,0,videos_normal/back_box_1.mp4,1385,255
data/extracted_pairs/pair_000022_1.jpg,data/extracted_pairs/pair_000022_2.jpg,0,videos_normal/back_box_1.mp4,2385,2780
data/extracted_pairs/pair_000023_1.jpg,data/extracted_pairs/pair_000023_2.jpg,0,videos_normal/back_box_1.mp4,670,1970
data/extracted_pairs/pair_000024_1.jpg,data/extracted_pairs/pair_000024_2.jpg,0,videos_normal/back_box_1.mp4,435,2860
data/extracted_pairs/pair_000025_1.jpg,data/extracted_pairs/pair_000025_2.jpg,0,videos_normal/back_box_1.mp4,1535,1885
data/extracted_pairs/pair_000026_1.jpg,data/extracted_pairs/pair_000026_2.jpg,0,videos_normal/back_box_1.mp4,2990,1015
data/extracted_pairs/pair_000027_1.jpg,data/extracted_pairs/pair_000027_2.jpg,0,videos_normal/back_box_1.mp4,390,265
data/extracted_pairs/pair_000028_1.jpg,data/extracted_pairs/pair_000028_2.jpg,0,videos_normal/back_box_1.mp4,1200,1515
data/extracted_pairs/pair_000029_1.jpg,data/extracted_pairs/pair_000029_2.jpg,0,videos_normal/back_box_1.mp4,440,1225
data/extracted_pairs/pair_000030_1.jpg,data/extracted_pairs/pair_000030_2.jpg,0,videos_normal/back_box_1.mp4,550,1980
data/extracted_pairs/pair_000031_1.jpg,data/extracted_pairs/pair_000031_2.jpg,0,videos_normal/back_box_1.mp4,1455,2355
data/extracted_pairs/pair_000032_1.jpg,data/extracted_pairs/pair_000032_2.jpg,0,videos_normal/back_box_1.mp4,1900,865
data/extracted_pairs/pair_000033_1.jpg,data/extracted_pairs/pair_000033_2.jpg,0,videos_normal/back_box_1.mp4,1930,1850
data/extracted_pairs/pair_000034_1.jpg,data/extracted_pairs/pair_000034_2.jpg,0,videos_normal/back_box_1.mp4,1105,1400
data/extracted_pairs/pair_000035_1.jpg,data/extracted_pairs/pair_000035_2.jpg,0,videos_normal/back_box_1.mp4,400,3150
data/extracted_pairs/pair_000036_1.jpg,data/extracted_pairs/pair_000036_2.jpg,0,videos_normal/back_box_1.mp4,910,2765
data/extracted_pairs/pair_000037_1.jpg,data/extracted_pairs/pair_000037_2.jpg,0,videos_normal/back_box_1.mp4,1285,870
data/extracted_pairs/pair_000038_1.jpg,data/extracted_pairs/pair_000038_2.jpg,0,videos_normal/back_box_1.mp4,2400,1975
data/extracted_pairs/pair_000039_1.jpg,data/extracted_pairs/pair_000039_2.jpg,0,videos_normal/back_box_1.mp4,1415,2885
data/extracted_pairs/pair_000040_1.jpg,data/extracted_pairs/pair_000040_2.jpg,0,videos_normal/back_box_2.mp4,315,450
data/extracted_pairs/pair_000041_1.jpg,data/extracted_pairs/pair_000041_2.jpg,0,videos_normal/back_box_2.mp4,105,325
